alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
31.0,-0.11609351232157027,6.27777829720344e-11,-0.7235329621907938,3.725142416755034e-11,-0.43536792771142285,6.341560609968155e-11,-0.49172815658900554,2.959420208892283e-11,-0.4353679277144031,3.1534774791452946e-12,,,2.980227176152539e-12
32.0,-0.11486452233970315,4.963685018566366e-11,-0.7162115107924616,5.176015172025927e-11,-0.43284224145021466,9.093181763120128e-11,-0.49075216054338583,3.3331587490081915e-11,-0.4328422414561751,7.20246084995324e-11,,,5.960454352305078e-12
33.0,-0.1134848525102715,7.395667411813633e-11,-0.7088206597883351,4.9579229610685616e-12,-0.4302607797980666,5.5999649362092896e-11,-0.4896880164301472,9.464556222082976e-11,-0.43026077979508637,1.8107071397821528e-11,,,2.980227176152539e-12
34.0,-0.11196608372942092,5.7038929135444505e-11,-0.7013561421892698,3.1761926422291253e-11,-0.4276207247487579,6.3513638792755955e-12,-0.48852967375807776,9.018367302937591e-11,-0.4276207247487579,1.2702949803156116e-11,,,0.0
35.0,-0.11031948655576031,3.433198170199603e-12,-0.6938137571791942,1.260780368994574e-11,-0.4249191945071781,1.415334516252642e-11,-0.48727078079409697,3.1105604203496284e-11,-0.4249191945071781,2.830669032505284e-11,,,0.0
36.0,-0.10855603297631758,6.667882912481105e-11,-0.6861893513038884,4.5768722145567153e-11,-0.42215323770767677,9.009260004688713e-11,-0.4859046815353396,6.222963117030744e-11,-0.4221532377136372,9.757306074220651e-11,,,5.960454352305078e-12
37.0,-0.10668640341604635,8.468747925149955e-11,-0.6784788014121326,1.305400232354259e-12,-0.4193198274774418,9.775824594271398e-11,-0.4844244143024862,1.7873841295923398e-11,-0.41931982747148133,8.75890471263574e-11,,,5.960454352305078e-12
38.0,-0.10472098866901584,8.646999782868647e-11,-0.6706779992419463,5.271805214590586e-11,-0.4164158551124445,7.161160553437185e-11,-0.48282271233580953,5.429659499789352e-11,-0.4164158551154247,8.677503160470224e-13,,,2.980227176152539e-12
39.0,-0.10266988707315126,4.1402770101228725e-11,-0.662782837163159,5.666578317686799e-11,-0.41343812361629884,2.1886048529040636e-11,-0.48109200632241206,2.7948934833155192e-11,-0.41343812361629884,4.377076479045172e-11,,,0.0
40.0,-0.10054289691660198,6.487410608713162e-11,-0.6547891950882294,3.045064200790648e-11,-0.41038334072055593,2.0279555812408034e-11,-0.4792244292122796,3.419081684441494e-11,-0.41038334072055593,4.055911162481607e-11,,,0.0
41.0,-0.09834950482675711,7.660327927538901e-11,-0.6466929282532943,3.928557479326855e-11,-0.4072481116725428,1.4874768083927847e-11,-0.4772118235377337,1.8668622203676932e-11,-0.4072481116725428,2.9749536167855695e-11,,,0.0
42.0,-0.09609887055914014,1.7379708783238357e-11,-0.6384898556787084,4.4671599752632574e-11,-0.4040289315463632,2.7318813877741377e-11,-0.4750457510455405,1.0934267380413587e-11,-0.4040289315463632,5.4638071844692604e-11,,,0.0
43.0,-0.09379980849612783,2.7070179431376573e-11,-0.6301757493806044,2.5833335470792917e-11,-0.4007221771307057,5.71014346917309e-11,-0.4727175050469927,7.246724054166265e-11,-0.4007221771336859,4.043121393237925e-11,,,2.980227176152539e-12
44.0,-0.09146076721447848,7.239214783183456e-11,-0.6217463239281602,8.779410531900567e-11,-0.397324098327894,7.631584253431356e-11,-0.4702181253190719,8.866143930141845e-12,-0.39732409833087423,3.645972412869014e-12,,,2.980227176152539e-12
45.0,-0.08908980745545543,4.582290102916886e-11,-0.6131972265730685,1.407252092633371e-11,-0.39383080898669176,3.2081004519568523e-11,-0.46753841569973836,6.764355742205908e-11,-0.39383080898669176,6.41633413067666e-11,,,0.0
46.0,-0.08669457976116483,7.39264205407153e-11,-0.6045240275339816,2.2161827928357525e-11,-0.3902382771390632,5.677613934551573e-11,-0.46466896416277464,5.907262179416506e-11,-0.39023827714204345,4.552802579382842e-11,,,2.980227176152539e-12
47.0,-0.08428230250428417,1.9716450694318155e-12,-0.5957222106505009,7.528422329983187e-12,-0.3865423146289637,4.5820902627724536e-11,-0.4616001652529744,3.2442493136386474e-11,-0.3865423146289637,9.164224934465892e-11,,,0.0
48.0,-0.08185974151519493,8.43483616286278e-11,-0.5867871641563809,3.8107850208746186e-11,-0.38273856591858935,4.466582659290452e-11,-0.4583222449770411,8.476093438236632e-11,-0.38273856591858935,8.93320972750189e-11,,,0.0
49.0,-0.07943319189064549,4.5009773685933396e-11,-0.5777141715361744,3.723388264376126e-11,-0.3788224961793676,5.2384763193913386e-11,-0.4548252874111008,8.531815531842568e-11,-0.3788224961823478,5.723377327626622e-11,,,2.980227176152539e-12
50.0,-0.07700846321179938,2.8957725106693033e-11,-0.5684984024772493,8.954870178712326e-11,-0.37478937845311855,2.6859625634756412e-11,-0.4510992630725125,1.837367757939745e-11,-0.37478937845311855,5.3720139447932524e-11,,,0.0
51.0,-0.07459086851737631,5.0325410505536183e-11,-0.5591349037502777,3.4572789076037225e-11,-0.37063427979993435,8.086908920290625e-11,-0.44713405845992965,7.213218911061858e-11,-0.3706342797969541,1.2967404927621828e-12,,,2.980227176152539e-12
52.0,-0.07218521766369487,7.382083833107345e-11,-0.5496185901016453,7.970935023138281e-11,-0.36635204639701924,1.8235857268678046e-11,-0.4429195064039848,2.2138124666781778e-11,-0.36635204639701924,3.647304680498564e-11,,,0.0
53.0,-0.06979581570342627,8.026707076780326e-11,-0.5399442348836028,8.89058826558653e-11,-0.36193728739775183,2.3595347897753527e-11,-0.4384454166563923,8.910108761917002e-11,-0.36193728739775183,4.7188475349457804e-11,,,0.0
54.0,-0.06742646584198454,1.0418887974594782e-12,-0.5301064606963366,5.294986671344759e-11,-0.35738435740791974,5.4604099020139074e-11,-0.4337016059545309,3.519962099574059e-13,-0.35738435741089997,5.395772717520231e-11,,,2.980227176152539e-12
55.0,-0.06508047773449296,1.5712764422914915e-11,-0.5200997295651227,4.8494874782534225e-11,-0.3526873374539571,6.126765761393926e-11,-0.42867792739461175,4.422914812174383e-11,-0.3526873374569373,4.027578270893173e-11,,,2.980227176152539e-12
56.0,-0.06276068012196862,7.1191386119551225e-12,-0.5099183330519175,8.268163931290928e-12,-0.34784001422860744,2.1573409725306192e-11,-0.4233642978855775,7.494005416219807e-16,-0.34784001422860744,4.3145043093772983e-11,,,0.0
57.0,-0.060469437997459616,9.708539527863991e-11,-0.49955638181858386,3.4292568784621835e-12,-0.342835857399436,3.7865488522470514e-11,-0.4177507235526013,4.627126459766373e-11,-0.342835857399436,7.572742433126223e-11,,,0.0
58.0,-0.058208673563037786,4.8511639150206065e-11,-0.48900779489805535,4.289524291323232e-11,-0.3376679947477331,5.678790770957676e-11,-0.41182732201730265,5.474232178670491e-12,-0.33766799475071335,4.692868316169552e-11,,,2.980227176152539e-12
59.0,-0.055979890262391016,6.473410696372639e-11,-0.478266288429059,6.145212116948073e-11,-0.33232918481594276,5.750400156045998e-11,-0.4055843412447357,5.879810527353868e-11,-0.3323291848129625,4.4302339574642247e-11,,,2.9802826873037702e-12
60.0,-0.05378419953138716,9.649697707558857e-11,-0.4673253638007515,8.952871777268001e-11,-0.326811786717911,7.407963131811357e-11,-0.39901217405115924,4.3916176251102e-11,-0.3268117867149308,9.734879569123223e-12,,,2.980227176152539e-12
61.0,-0.051622349265252276,9.741035755794769e-11,-0.45617829521322983,7.910927468657292e-11,-0.32110772676028543,8.626876990547316e-12,-0.3921013679864868,4.3674480698641105e-11,-0.32110772676028543,1.7253309891884783e-11,,,0.0
62.0,-0.049494753477840464,6.75903222280283e-11,-0.4448181165049057,1.1232681451645021e-12,-0.31520846132670355,5.043743200872086e-11,-0.384842629852319,1.3185869063292444e-11,-0.3152084613296838,5.349098941564989e-11,,,2.980227176152539e-12
63.0,-0.047401522366216906,3.802247405815251e-11,-0.4332376070500459,4.1902703529217433e-11,-0.30910493548832874,2.541633570274371e-11,-0.3772268245694544,3.3409830457742373e-11,-0.30910493548832874,5.083444776232682e-11,,,0.0
64.0,-0.045342492470607135,8.676132035034811e-11,-0.4214292768695331,1.0751011192411397e-11,-0.3027875366373971,1.911204527971222e-11,-0.3692449678822822,6.813746789013919e-11,-0.3027875366373971,3.822409055942444e-11,,,0.0
65.0,-0.0433172560475651,5.393141488951869e-11,-0.40938535054953296,6.335243440958038e-11,-0.2962460423867992,1.0346168366481834e-11,-0.36088821274508076,5.418879234220242e-11,-0.2962460423867992,2.0690782420729192e-11,,,0.0
66.0,-0.04132518934641674,6.659228724004151e-11,-0.39709775007535614,1.5005607867379922e-11,-0.289469561638969,4.6663783948019955e-11,-0.35214782886570445,6.178946243551309e-11,-0.289469561638969,9.332912220827438e-11,,,0.0
67.0,-0.03936547952671657,8.163397735572175e-11,-0.3845580761990477,3.1225300123338684e-11,-0.2824464676975521,6.981248912296678e-11,-0.34301517545434046,3.332337183969969e-11,-0.2824464676945719,1.7463808177353712e-12,,,2.980227176152539e-12
68.0,-0.037437150049825965,2.53768950297939e-11,-0.37175758841222606,3.80503406560706e-11,-0.2751643219138585,1.0617284829095297e-11,-0.3334816667243411,9.514401766441694e-11,-0.2751643219138585,2.123656805963492e-11,,,0.0
69.0,-0.03553908375783127,3.449435181934746e-11,-0.35868718307117897,9.839212777862372e-12,-0.2676097860441934,5.812217374057127e-11,-0.3235387300974476,6.035219546340898e-11,-0.26760978604121316,1.814681738210311e-11,,,2.980227176152539e-12
70.0,-0.03367004445042446,1.1441736447181938e-11,-0.3453373696861367,1.2171874619326672e-11,-0.2597685210054106,1.956623751908637e-11,-0.3131777566365686,7.188830086768405e-11,-0.2597685210054106,3.913402935040722e-11,,,0.0
71.0,-0.03182869602991499,3.7837788458006116e-11,-0.3316982449336469,4.856151591958735e-11,-0.2516250692749501,1.874611577079577e-12,-0.3023900434676946,7.076060570820886e-11,-0.2516250692749501,3.750555421788704e-12,,,0.0
