case_id,alpha_deg,material_index,sigma_prime,d_over_l,delta_prime,J_prime
alpha105_material2,105,2,-0.3525,0.00973053546418702,0.00344334108026968,0.00231883380389144
alpha105_material2,105,2,-0.35,0.00946928731580562,0.0033508932920902,0.00225657710281878
alpha105_material2,105,2,-0.3475,0.00921325561150816,0.00326029144510001,0.00219556350567626
alpha105_material2,105,2,-0.345,0.00896237259898527,0.00317151156381379,0.0021357768667599
alpha105_material2,105,2,-0.3425,0.00871657092625122,0.00308452981440861,0.00207720113576477
alpha105_material2,105,2,-0.34,0.00847578364215363,0.00299932250490428,0.00201982035790648
alpha105_material2,105,2,-0.3375,0.0082399441968878,0.00291586608534539,0.00196361867404374
alpha105_material2,105,2,-0.335,0.00800898644251519,0.00283413714798475,0.00190858032080192
alpha105_material2,105,2,-0.3325,0.00778284463348672,0.00275411242746858,0.00185468963069772
alpha105_material2,105,2,-0.33,0.00756145342717032,0.00267576880102321,0.00180193103226496
alpha105_material2,105,2,-0.3275,0.00734474788438343,0.00259908328864349,0.00175028905018141
alpha105_material2,105,2,-0.325,0.00713266346992998,0.00252403305328283,0.00169974830539679
alpha105_material2,105,2,-0.3225,0.00692513605314238,0.00245059540104498,0.00165029351526191
alpha105_material2,105,2,-0.32,0.00672210190842827,0.00237874778137753,0.00160190949365899
alpha105_material2,105,2,-0.3175,0.00652349771582229,0.00230846778726715,0.0015545811511331
alpha105_material2,105,2,-0.315,0.00632926056154286,0.0022397331554366,0.00150829349502491
alpha105_material2,105,2,-0.3125,0.00613932793855423,0.00217252176654364,0.00146303162960458
alpha105_material2,105,2,-0.31,0.00595363774713355,0.00210681164538174,0.0014187807562069
alpha105_material2,105,2,-0.3075,0.00577212829544346,0.0020425809610826,0.00137552617336777
alpha105_material2,105,2,-0.305,0.00559473830010996,0.00197980802732076,0.00133325327696188
alpha105_material2,105,2,-0.3025,0.00542140688680585,0.00191847130251996,0.00129194756034175
alpha105_material2,105,2,-0.3,0.00525207359083978,0.00185854939006166,0.00125159461447812
alpha105_material2,105,2,-0.2975,0.00508667835775099,0.00180002103849545,0.00121218012810166
alpha105_material2,105,2,-0.295,0.00492516154390982,0.00174286514175159,0.00117368988784611
alpha105_material2,105,2,-0.2925,0.00476746391712422,0.0016870607393556,0.00113610977839275
alpha105_material2,105,2,-0.29,0.00461352665725222,0.00163258701664504,0.00109942578261643
alpha105_material2,105,2,-0.2875,0.00446329135682057,0.00157942330498838,0.00106362398173293
alpha105_material2,105,2,-0.285,0.00431670002164964,0.00152754908200616,0.00102869055544791
alpha105_material2,105,2,-0.2825,0.00417369507148459,0.00147694397179433,0.000994611782107324
alpha105_material2,105,2,-0.28,0.00403421934063321,0.00142758774514999,0.000961374038849413
alpha105_material2,105,2,-0.2775,0.00389821607861019,0.00137946031979934,0.000928963801758229
alpha105_material2,105,2,-0.275,0.00376562895078829,0.00133254176062812,0.00089736764601882
alpha105_material2,105,2,-0.2725,0.00363640203905625,0.00128681227991444,0.000866572246074014
alpha105_material2,105,2,-0.27,0.00351047984248379,0.00124225223756409,0.000836564375782894
alpha105_material2,105,2,-0.2675,0.00338780727799376,0.0011988421413484,0.000807330908580963
alpha105_material2,105,2,-0.265,0.00326832968104157,0.00115656264714466,0.000778858817642069
alpha105_material2,105,2,-0.2625,0.00315199280630198,0.00111539455917917,0.000751135176042067
alpha105_material2,105,2,-0.26,0.00303874282836368,0.001075318830273,0.00072414715692433
alpha105_material2,105,2,-0.2575,0.00292852634243139,0.00103631656209049,0.000697882033667078
alpha105_material2,105,2,-0.255,0.00282129036503603,0.000998369005390523,0.00067232718005261
alpha105_material2,105,2,-0.2525,0.00271698233475292,0.000961457560280669,0.000647470070438447
alpha105_material2,105,2,-0.25,0.00261555011292823,0.000925563776474273,0.000623298279930455
alpha105_material2,105,2,-0.2475,0.00251694198441382,0.000890669353550491,0.000599799484557964
alpha105_material2,105,2,-0.245,0.00242110665831074,0.000856756141217388,0.000576961461450945
alpha105_material2,105,2,-0.2425,0.00232799326872155,0.00082380613957815,0.000554772089019283
alpha105_material2,105,2,-0.24,0.00223755137551153,0.000791801499400476,0.000533219347134195
alpha105_material2,105,2,-0.2375,0.0021497309650792,0.000760724522389217,0.000512291317311828
alpha105_material2,105,2,-0.235,0.00206448245113616,0.000730557661462356,0.000491976182899115
alpha105_material2,105,2,-0.2325,0.00198175667549658,0.00070128352103038,0.000472262229261906
alpha105_material2,105,2,-0.23,0.00190150490887652,0.000672884857279129,0.000453137843975453
alpha105_material2,105,2,-0.2275,0.00182367885170333,0.000645344578456223,0.000434591517017292
alpha105_material2,105,2,-0.225,0.0017482306349353,0.000618645745161118,0.000416611840962574
alpha105_material2,105,2,-0.2225,0.00167511282089196,0.000592771570638907,0.000399187511181921
alpha105_material2,105,2,-0.22,0.00160427840409508,0.000567705421077936,0.000382307326041846
alpha105_material2,105,2,-0.2175,0.00153568081212079,0.000543430815911343,0.000365960187107818
