alpha_deg,lambda0,lambda,lambda1,lambda2,lambda1_D1_printed,lambda0_residual,lambda_residual,lambda1_residual,lambda2_residual
142,-0.0958042573016036,-0.591799049809946,-0.476387399122659,-0.323561416404028,-0.235479862043559,2.22044604925031e-16,3.33066907387547e-16,1.52655665885959e-16,1.55431223447522e-15
143,-0.0932736729585632,-0.597950135080279,-0.478361354230255,-0.32689067882856,-0.244819408991089,3.88578058618805e-16,4.44089209850063e-16,1.26287869051112e-15,4.44089209850063e-16
144,-0.0906988886651854,-0.604052151960203,-0.480211000309481,-0.33022711781181,-0.25401085525046,1.66533453693773e-16,2.22044604925031e-16,4.71844785465692e-16,2.22044604925031e-16
145,-0.0880879165632638,-0.610112669090682,-0.481941837858879,-0.333574273038607,-0.263055896593543,2.22044604925031e-16,0,4.18415302405606e-15,0
146,-0.085448304890207,-0.616139439285979,-0.483559201574004,-0.336935730690826,-0.271956242399246,3.33066907387547e-16,7.7715611723761e-16,3.2612801348364e-16,1.55431223447522e-15
147,-0.0827870931766523,-0.622140433108306,-0.485068262759415,-0.340315137309975,-0.280713610060579,5.55111512312578e-16,3.33066907387547e-16,1.65145674912992e-15,1.11022302462516e-15
148,-0.0801107771110707,-0.628123876431513,-0.486474032056009,-0.343716214284193,-0.289329720056657,4.44089209850063e-16,5.55111512312578e-16,1.31838984174237e-15,1.55431223447522e-15
149,-0.0774252834531976,-0.63409829271269,-0.487781362464996,-0.34714277308818,-0.297806291621695,0,2.22044604925031e-16,2.14411821630733e-15,1.99840144432528e-15
150,-0.0747359549879982,-0.640072550835856,-0.488994952648046,-0.350598731415789,-0.306145038950033,3.33066907387547e-16,1.11022302462516e-16,3.94823063132321e-15,1.33226762955019e-15
151,-0.0720475451514719,-0.646055919573425,-0.490119350482029,-0.354088130358617,-0.314347667882473,6.10622663543836e-16,2.22044604925031e-16,1.38777878078145e-16,3.77475828372553e-15
152,-0.0693642216490587,-0.652058129939555,-0.491158956846129,-0.357615152800205,-0.322415873024823,3.88578058618805e-16,0,1.90819582357449e-15,1.77635683940025e-15
